Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2019-11-05,07:50:12,2019-11-04,23:50:12,129.8957946118396
2019-11-05,07:50:13,2019-11-04,23:50:13,129.83923662184435
2019-11-05,07:50:14,2019-11-04,23:50:14,129.87839079147167
2019-11-05,07:50:15,2019-11-04,23:50:15,129.87984258523585
2019-11-05,07:50:16,2019-11-04,23:50:16,129.8667941461604
2019-11-05,07:50:17,2019-11-04,23:50:17,129.85083326715565
2019-11-05,07:50:18,2019-11-04,23:50:18,129.7797661919198
2019-11-05,07:50:19,2019-11-04,23:50:19,129.8232757428396
2019-11-05,07:50:20,2019-11-04,23:50:20,129.83633303431603
2019-11-05,07:50:21,2019-11-04,23:50:21,129.79571821852355
2019-11-05,07:50:22,2019-11-04,23:50:22,129.8232757428396
2019-11-05,07:50:23,2019-11-04,23:50:23,129.79862180605187
2019-11-05,07:50:24,2019-11-04,23:50:24,129.84648673826416
2019-11-05,07:50:25,2019-11-04,23:50:25,129.80732371623583
2019-11-05,07:50:26,2019-11-04,23:50:26,129.7768714567925
2019-11-05,07:50:27,2019-11-04,23:50:27,129.7391602285283
2019-11-05,07:50:28,2019-11-04,23:50:28,129.72319934952355
2019-11-05,07:50:29,2019-11-04,23:50:29,129.72755473081605
2019-11-05,07:50:30,2019-11-04,23:50:30,129.73045831834435
2019-11-05,07:50:31,2019-11-04,23:50:31,129.72755473081605
2019-11-05,07:50:32,2019-11-04,23:50:32,129.68259338613208
2019-11-05,07:50:33,2019-11-04,23:50:33,129.7580158426604
2019-11-05,07:50:34,2019-11-04,23:50:34,129.72465114328773
2019-11-05,07:50:35,2019-11-04,23:50:35,129.68839170878772
2019-11-05,07:50:36,2019-11-04,23:50:36,129.65358406805188
2019-11-05,07:50:37,2019-11-04,23:50:37,129.6854969736604
2019-11-05,07:50:38,2019-11-04,23:50:38,129.6680931532925
2019-11-05,07:50:39,2019-11-04,23:50:39,129.663737772
2019-11-05,07:50:40,2019-11-04,23:50:40,129.64343036410375
2019-11-05,07:50:41,2019-11-04,23:50:41,129.65358406805188
2019-11-05,07:50:42,2019-11-04,23:50:42,129.63618024768397
2019-11-05,07:50:43,2019-11-04,23:50:43,129.6390838352123
2019-11-05,07:50:44,2019-11-04,23:50:44,129.54625755831603
2019-11-05,07:50:45,2019-11-04,23:50:45,129.57236328886793
2019-11-05,07:50:46,2019-11-04,23:50:46,129.5259501504198
2019-11-05,07:50:47,2019-11-04,23:50:47,129.52740194418396
2019-11-05,07:50:48,2019-11-04,23:50:48,129.5114499175802
2019-11-05,07:50:49,2019-11-04,23:50:49,129.49114250968395
2019-11-05,07:50:50,2019-11-04,23:50:50,129.48098880573585
2019-11-05,07:50:51,2019-11-04,23:50:51,129.42732555086792
2019-11-05,07:50:52,2019-11-04,23:50:52,129.43022913839624
2019-11-05,07:50:53,2019-11-04,23:50:53,129.3910661163679
2019-11-05,07:50:54,2019-11-04,23:50:54,129.33595106773583
2019-11-05,07:50:55,2019-11-04,23:50:55,129.29678804570753
2019-11-05,07:50:56,2019-11-04,23:50:56,129.24457658460375
2019-11-05,07:50:57,2019-11-04,23:50:57,129.2721341089198
2019-11-05,07:50:58,2019-11-04,23:50:58,129.2576338760802
2019-11-05,07:50:59,2019-11-04,23:50:59,129.2677875800283
2019-11-05,07:51:00,2019-11-04,23:51:00,129.20397062121228
2019-11-05,07:51:01,2019-11-04,23:51:01,129.17205771560376
2019-11-05,07:51:02,2019-11-04,23:51:02,129.12564457715564
2019-11-05,07:51:03,2019-11-04,23:51:03,129.12420163579247
2019-11-05,07:51:04,2019-11-04,23:51:04,129.0980870528396
2019-11-05,07:51:05,2019-11-04,23:51:05,129.04877917926416
2019-11-05,07:51:06,2019-11-04,23:51:06,129.01251974476415
2019-11-05,07:51:07,2019-11-04,23:51:07,129.01251974476415
2019-11-05,07:51:08,2019-11-04,23:51:08,128.96901019384435
2019-11-05,07:51:09,2019-11-04,23:51:09,128.95160637347644
2019-11-05,07:51:10,2019-11-04,23:51:10,128.92259705539624
2019-11-05,07:51:11,2019-11-04,23:51:11,128.87908750447644
2019-11-05,07:51:12,2019-11-04,23:51:12,128.8544247152877
2019-11-05,07:51:13,2019-11-04,23:51:13,128.81671348702355
2019-11-05,07:51:14,2019-11-04,23:51:14,128.7819058462877
2019-11-05,07:51:15,2019-11-04,23:51:15,128.7427516766604
2019-11-05,07:51:16,2019-11-04,23:51:16,128.73694450160377
2019-11-05,07:51:17,2019-11-04,23:51:17,128.72679079765564
2019-11-05,07:51:18,2019-11-04,23:51:18,128.6455700184717
2019-11-05,07:51:19,2019-11-04,23:51:19,128.57015641434435
2019-11-05,07:51:20,2019-11-04,23:51:20,128.6122141715
2019-11-05,07:51:21,2019-11-04,23:51:21,128.58175305965563
2019-11-05,07:51:22,2019-11-04,23:51:22,128.53389697984437
2019-11-05,07:51:23,2019-11-04,23:51:23,128.48312846010376
2019-11-05,07:51:24,2019-11-04,23:51:24,128.51358957194813
2019-11-05,07:51:25,2019-11-04,23:51:25,128.46572463973584
2019-11-05,07:51:26,2019-11-04,23:51:26,128.44977261313207
2019-11-05,07:51:27,2019-11-04,23:51:27,128.4164167661604
2019-11-05,07:51:28,2019-11-04,23:51:28,128.43382058652833
2019-11-05,07:51:29,2019-11-04,23:51:29,128.37580195036793
2019-11-05,07:51:30,2019-11-04,23:51:30,128.34679263228773
2019-11-05,07:51:31,2019-11-04,23:51:31,128.3293888119198
2019-11-05,07:51:32,2019-11-04,23:51:32,128.34099430963207
2019-11-05,07:51:33,2019-11-04,23:51:33,128.34099430963207
2019-11-05,07:51:34,2019-11-04,23:51:34,128.31634037284437
2019-11-05,07:51:35,2019-11-04,23:51:35,128.3554945424717
2019-11-05,07:51:36,2019-11-04,23:51:36,128.3032830813679
2019-11-05,07:51:37,2019-11-04,23:51:37,128.2931293774198
2019-11-05,07:51:38,2019-11-04,23:51:38,128.31198499155187
2019-11-05,07:51:39,2019-11-04,23:51:39,128.30037949383959
2019-11-05,07:51:40,2019-11-04,23:51:40,128.22496588971228
2019-11-05,07:51:41,2019-11-04,23:51:41,128.2786291445802
2019-11-05,07:51:42,2019-11-04,23:51:42,128.2641200593396
2019-11-05,07:51:43,2019-11-04,23:51:43,128.19015824897645
2019-11-05,07:51:44,2019-11-04,23:51:44,128.16404366602356
2019-11-05,07:51:45,2019-11-04,23:51:45,128.140841523
2019-11-05,07:51:46,2019-11-04,23:51:46,128.20175489428772
2019-11-05,07:51:47,2019-11-04,23:51:47,128.10022670720753
2019-11-05,07:51:48,2019-11-04,23:51:48,128.1263412901604
2019-11-05,07:51:49,2019-11-04,23:51:49,128.06252433134435
2019-11-05,07:51:50,2019-11-04,23:51:50,128.0755727704198
2019-11-05,07:51:51,2019-11-04,23:51:51,128.0001591662925
2019-11-05,07:51:52,2019-11-04,23:51:52,127.99870737252832
2019-11-05,07:51:53,2019-11-04,23:51:53,127.96534267315563
2019-11-05,07:51:54,2019-11-04,23:51:54,127.98419828728773
2019-11-05,07:51:55,2019-11-04,23:51:55,127.97694817086791
2019-11-05,07:51:56,2019-11-04,23:51:56,127.92618850352832
2019-11-05,07:51:57,2019-11-04,23:51:57,127.9377851488396
2019-11-05,07:51:58,2019-11-04,23:51:58,127.92473670976416
2019-11-05,07:51:59,2019-11-04,23:51:59,127.93343861994812
2019-11-05,07:52:00,2019-11-04,23:52:00,127.9160347995802
2019-11-05,07:52:01,2019-11-04,23:52:01,127.82611211021228
2019-11-05,07:52:02,2019-11-04,23:52:02,127.85366963452832
2019-11-05,07:52:03,2019-11-04,23:52:03,127.79855458589624
