Timestamp,RodPump.FluidLoad,RodPump.PumpFillage,RodPump.PumpingSpeed,RodPump.RodLoading
'02/01/2023 09:55:46,9170.83671875,21.846426099598283,7.546801025061896,38.69878754400658
'02/01/2023 09:55:53,9598.152734375002,16.241097764438507,7.547743550480287,41.65844723516104
'02/01/2023 09:56:00,9040.4181640625,15.451069130783681,7.492824020506855,38.93905159737815
'02/01/2023 09:56:07,9482.6142578125,30.424670871713055,7.544916680236661,41.034062383170294
'02/01/2023 09:56:14,9746.668554687501,36.70480230984827,7.544916680236661,43.413883010100356
'02/01/2023 09:56:21,9746.668554687501,36.70480230984827,7.544916680236661,43.413883010100356
'02/01/2023 09:56:28,9597.467578125,30.787916962021367,7.4921972501793315,43.44801412495439
'02/01/2023 09:56:35,9231.096875,16.413673019938667,7.548686311353441,40.06596839595595
'02/01/2023 09:56:42,9115.607812500002,16.95378852669708,7.546801025061896,39.211515894443814
'02/01/2023 09:56:49,9119.2205078125,16.388682152328222,7.546801025061896,39.412149393825565
'02/01/2023 09:56:56,9180.404687500002,16.075487636390896,7.547743550480287,39.63282751048145
'02/01/2023 09:57:03,9159.821484375,17.14316594846388,7.49344278578761,39.458292132140976
'02/01/2023 09:57:10,9144.7478515625,17.301325992984424,7.546801025061896,39.217626295967115
'02/01/2023 09:57:17,9144.7478515625,17.301325992984424,7.546801025061896,39.217626295967115
'02/01/2023 09:57:24,9203.762890625,17.37357186609212,7.546801025061896,39.63575653598691
'02/01/2023 09:57:31,9321.4900390625,17.119522380817646,7.546801025061896,39.88213638977845
'02/01/2023 09:57:38,9224.5421875,16.263473854122566,7.547743550480287,39.84921894041528
'02/01/2023 09:57:45,9122.4619140625,20.568530616748763,7.492507088301211,39.252750225315495
'02/01/2023 09:57:52,9404.9494140625,23.216691972303703,7.546801025061896,40.089380196908394
'02/01/2023 09:57:59,9357.8271484375,25.397453503547247,7.5458587350100705,40.792908774482804
'02/01/2023 09:58:06,9526.34453125,27.421480342631234,7.546801025061896,41.56691116739802
'02/01/2023 09:58:13,9526.34453125,27.421480342631234,7.546801025061896,41.56691116739802
'02/01/2023 09:58:20,9587.265625,29.163149405401118,7.490677070983596,42.08278793160496
'02/01/2023 09:58:27,9527.533203125,33.93963186666924,7.5458587350100705,43.036776169988556
'02/01/2023 09:58:34,9632.72578125,38.72156324191384,7.5439748606535595,42.94640644353182
'02/01/2023 09:58:41,9986.940625,57.20433125204013,7.488766381382965,43.90046643729876
'02/01/2023 09:58:48,9931.118750000001,53.367841146827956,7.5439748606535595,45.38134920833839
'02/01/2023 09:58:55,9708.640234375001,29.85566461324644,7.5458587350100705,44.65361866468526
'02/01/2023 09:59:02,9078.066796875002,9.535363832313644,7.495004188871219,39.59369118805755
'02/01/2023 09:59:09,8918.83125,19.54605259437153,7.546801025061896,38.091599050910716
'02/01/2023 09:59:16,8918.83125,19.54605259437153,7.546801025061896,38.091599050910716
'02/01/2023 09:59:23,8923.0212890625,15.963250796801084,7.546801025061896,38.60813918345406
'02/01/2023 09:59:30,9403.154296875,19.593631755983733,7.546801025061896,39.725876516547004
'02/01/2023 09:59:37,9412.1306640625,32.31488115958087,7.5458587350100705,41.12816053456791
'02/01/2023 09:59:44,11252.707421875002,68.4036590802529,7.485963322658336,47.068711876048106
'02/01/2023 09:59:51,10539.213671875,61.22416551778159,8.005667321326753,49.17521814223264
'02/01/2023 09:59:58,9965.460546875001,29.683136480032125,7.993960126651326,44.031256248233255
'02/01/2023 10:00:05,9200.138281250001,9.215659576274355,7.58944902784072,39.40393919000136
'02/01/2023 10:00:12,9215.135351562501,19.23934970866575,7.547743550480287,38.859173667203535
'02/01/2023 10:00:19,9215.135351562501,19.23934970866575,7.547743550480287,38.859173667203535
'02/01/2023 10:00:26,9031.3435546875,14.107180474219078,7.547743550480287,39.2304279569646
'02/01/2023 10:00:33,9102.7353515625,18.076998753711248,7.492507088173445,39.27810390411685
'02/01/2023 10:00:40,9225.4013671875,22.117448238130756,7.547743550480287,38.80101408609978
'02/01/2023 10:00:47,9834.749609375001,46.5003765631947,7.5420919267060595,43.32437194428672
'02/01/2023 10:00:54,11450.475000000002,73.74074219567987,7.485650972070189,49.921969157338246
'02/01/2023 10:01:01,10211.546875,45.931535049960665,8.01309766755445,46.89875506391751
'02/01/2023 10:01:08,9255.408984375,5.268966389484221,7.581831966967212,40.00625603477609
'02/01/2023 10:01:15,8987.198046875,21.280630932017203,7.492507088130856,37.77259264770669
'02/01/2023 10:01:22,8987.198046875,21.280630932017203,7.492507088130856,37.77259264770669
'02/01/2023 10:01:29,9201.736914062501,18.127463122812255,7.546801025061896,39.90466518278728
'02/01/2023 10:01:36,9219.684375,13.379971640016992,7.548686311353441,39.43908931701454
'02/01/2023 10:01:43,8892.65234375,16.957969339177165,7.546801025061896,38.43994755033931
'02/01/2023 10:01:50,9638.859960937501,37.89744504733626,7.5439748606535595,42.59123686508536
'02/01/2023 10:01:57,11007.10234375,64.55404384320697,7.485963322542484,46.54952985035954
'02/01/2023 10:02:04,10029.186328125,37.333268261710515,8.014160271674267,47.296840404575306
'02/01/2023 10:02:11,8961.9990234375,2.31490795769168,7.5799300901411835,39.1572773442106
'02/01/2023 10:02:18,8793.2283203125,21.089866602772105,7.492507087832732,37.23093516066254
'02/01/2023 10:02:25,8793.2283203125,21.089866602772105,7.492507087832732,37.23093516066254
'02/01/2023 10:02:32,9363.418359375002,19.482952742643164,7.547743550480287,40.07208913980798
'02/01/2023 10:02:39,9249.002734375,11.992338981078776,7.547743550480287,39.70448844932773
