#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,last,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,wellname
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:33:21Z,10.376,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:33:32Z,10.375,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:33:42Z,10.377,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:33:52Z,10.376,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:34:03Z,10.376,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:34:13Z,10.377,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:34:23Z,10.377,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:34:34Z,10.377,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:34:44Z,10.376,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:34:54Z,10.376,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:35:05Z,10.378,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:35:15Z,10.38,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:35:26Z,10.378,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:35:36Z,10.377,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:35:46Z,10.385,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:35:58Z,10.384,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:36:08Z,10.38,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:36:18Z,10.382,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:36:29Z,10.379,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:36:39Z,10.38,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:36:50Z,10.379,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:37:00Z,10.379,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:37:10Z,10.378,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:37:21Z,10.384,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:37:31Z,10.385,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:37:41Z,10.384,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:37:52Z,10.388,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:38:02Z,10.383,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:38:13Z,10.4,Stroke Period,sensors,9
