Date UTC,Time UTC,Date Local (America/Chicago),Time Local (America/Chicago),Value (psi)
2020-02-28,03:49:31,2020-02-27,21:49:31,152.3809993831321
2020-02-28,03:49:32,2020-02-27,21:49:32,152.3113841016604
2020-02-28,03:49:33,2020-02-27,21:49:33,152.2272508825471
2020-02-28,03:49:34,2020-02-27,21:49:34,152.1518461308208
2020-02-28,03:49:35,2020-02-27,21:49:35,152.13299051668872
2020-02-28,03:49:36,2020-02-27,21:49:36,152.05030909133959
2020-02-28,03:49:37,2020-02-27,21:49:37,151.94443437536793
2020-02-28,03:49:38,2020-02-27,21:49:38,151.9197715861792
2020-02-28,03:49:39,2020-02-27,21:49:39,151.86610833131127
2020-02-28,03:49:40,2020-02-27,21:49:40,151.83710786563208
2020-02-28,03:49:41,2020-02-27,21:49:41,151.75587823404712
2020-02-28,03:49:42,2020-02-27,21:49:42,151.73702261991505
2020-02-28,03:49:43,2020-02-27,21:49:43,151.62824431641505
2020-02-28,03:49:44,2020-02-27,21:49:44,151.58474361789624
2020-02-28,03:49:45,2020-02-27,21:49:45,151.48320657841504
2020-02-28,03:49:46,2020-02-27,21:49:46,151.51222474889624
2020-02-28,03:49:47,2020-02-27,21:49:47,151.3831390375
2020-02-28,03:49:48,2020-02-27,21:49:48,151.30047531695288
2020-02-28,03:49:49,2020-02-27,21:49:49,151.19893827747168
2020-02-28,03:49:50,2020-02-27,21:49:50,151.14527502260376
2020-02-28,03:49:51,2020-02-27,21:49:51,151.11046738186792
2020-02-28,03:49:52,2020-02-27,21:49:52,151.02344828002833
2020-02-28,03:49:53,2020-02-27,21:49:53,150.92481482807543
2020-02-28,03:49:54,2020-02-27,21:49:54,150.8682479856792
2020-02-28,03:49:55,2020-02-27,21:49:55,150.7841324713679
2020-02-28,03:49:56,2020-02-27,21:49:56,150.75077662439625
2020-02-28,03:49:57,2020-02-27,21:49:57,150.64635370218872
2020-02-28,03:49:58,2020-02-27,21:49:58,150.5999317113396
2020-02-28,03:49:59,2020-02-27,21:49:59,150.55497921905663
2020-02-28,03:50:00,2020-02-27,21:50:00,150.45199038581129
2020-02-28,03:50:01,2020-02-27,21:50:01,150.38092331057544
2020-02-28,03:50:02,2020-02-27,21:50:02,150.32580826194337
2020-02-28,03:50:03,2020-02-27,21:50:03,150.18948128652832
2020-02-28,03:50:04,2020-02-27,21:50:04,150.2054333131321
2020-02-28,03:50:05,2020-02-27,21:50:05,150.12276959258497
2020-02-28,03:50:06,2020-02-27,21:50:06,150.07344401420752
2020-02-28,03:50:07,2020-02-27,21:50:07,149.99656976391503
2020-02-28,03:50:08,2020-02-27,21:50:08,149.9037611918208
2020-02-28,03:50:09,2020-02-27,21:50:09,149.88345378392455
2020-02-28,03:50:10,2020-02-27,21:50:10,149.89214684170753
2020-02-28,03:50:11,2020-02-27,21:50:11,149.78917571326417
2020-02-28,03:50:12,2020-02-27,21:50:12,149.7297052833396
2020-02-28,03:50:13,2020-02-27,21:50:13,149.66154179563208
2020-02-28,03:50:14,2020-02-27,21:50:14,149.60061957194335
2020-02-28,03:50:15,2020-02-27,21:50:15,149.55276349213207
2020-02-28,03:50:16,2020-02-27,21:50:16,149.5165040576321
2020-02-28,03:50:17,2020-02-27,21:50:17,149.3961291088208
2020-02-28,03:50:18,2020-02-27,21:50:18,149.39901499154712
2020-02-28,03:50:19,2020-02-27,21:50:19,149.3410140601887
2020-02-28,03:50:20,2020-02-27,21:50:20,149.2220732003396
2020-02-28,03:50:21,2020-02-27,21:50:21,149.19597632218873
2020-02-28,03:50:22,2020-02-27,21:50:22,149.1858137658396
2020-02-28,03:50:23,2020-02-27,21:50:23,149.1132948968396
2020-02-28,03:50:24,2020-02-27,21:50:24,149.03208297005665
2020-02-28,03:50:25,2020-02-27,21:50:25,149.00016121204712
2020-02-28,03:50:26,2020-02-27,21:50:26,149.00306479957544
2020-02-28,03:50:27,2020-02-27,21:50:27,148.98130559791502
2020-02-28,03:50:28,2020-02-27,21:50:28,148.9827573916792
2020-02-28,03:50:29,2020-02-27,21:50:29,148.90154546489623
2020-02-28,03:50:30,2020-02-27,21:50:30,148.79857433645287
2020-02-28,03:50:31,2020-02-27,21:50:31,148.8159781568208
2020-02-28,03:50:32,2020-02-27,21:50:32,148.79276716139623
2020-02-28,03:50:33,2020-02-27,21:50:33,148.75505593313207
2020-02-28,03:50:34,2020-02-27,21:50:34,148.7187964986321
2020-02-28,03:50:35,2020-02-27,21:50:35,148.7144411173396
2020-02-28,03:50:36,2020-02-27,21:50:36,148.6665850375283
2020-02-28,03:50:37,2020-02-27,21:50:37,148.6535365984529
2020-02-28,03:50:38,2020-02-27,21:50:38,148.64482583586792
2020-02-28,03:50:39,2020-02-27,21:50:39,148.5621621153208
2020-02-28,03:50:40,2020-02-27,21:50:40,148.49108618768395
2020-02-28,03:50:41,2020-02-27,21:50:41,148.4678840446604
2020-02-28,03:50:42,2020-02-27,21:50:42,148.4577303407123
2020-02-28,03:50:43,2020-02-27,21:50:43,148.4388747265802
2020-02-28,03:50:44,2020-02-27,21:50:44,148.4026152920802
2020-02-28,03:50:45,2020-02-27,21:50:45,148.37940429665565
2020-02-28,03:50:46,2020-02-27,21:50:46,148.36780765134435
2020-02-28,03:50:47,2020-02-27,21:50:47,148.3373465395
2020-02-28,03:50:48,2020-02-27,21:50:48,148.2677312580283
2020-02-28,03:50:49,2020-02-27,21:50:49,148.26918305179248
2020-02-28,03:50:50,2020-02-27,21:50:50,148.19085700773584
2020-02-28,03:50:51,2020-02-27,21:50:51,148.22566464847168
2020-02-28,03:50:52,2020-02-27,21:50:52,148.16040474829248
2020-02-28,03:50:53,2020-02-27,21:50:53,148.17345318736793
2020-02-28,03:50:54,2020-02-27,21:50:54,148.14009734039624
2020-02-28,03:50:55,2020-02-27,21:50:55,148.10673264102357
2020-02-28,03:50:56,2020-02-27,21:50:56,148.0762803815802
2020-02-28,03:50:57,2020-02-27,21:50:57,147.97330040073584
2020-02-28,03:50:58,2020-02-27,21:50:58,148.01246342276417
2020-02-28,03:50:59,2020-02-27,21:50:59,148.02696365560377
2020-02-28,03:51:00,2020-02-27,21:51:00,148.011011629
2020-02-28,03:51:01,2020-02-27,21:51:01,147.9747521945
2020-02-28,03:51:02,2020-02-27,21:51:02,147.9675020780802
2020-02-28,03:51:03,2020-02-27,21:51:03,147.95734837413207
2020-02-28,03:51:04,2020-02-27,21:51:04,147.93849276
2020-02-28,03:51:05,2020-02-27,21:51:05,147.92543546852355
2020-02-28,03:51:06,2020-02-27,21:51:06,147.93413737870753
2020-02-28,03:51:07,2020-02-27,21:51:07,147.9602519616604
2020-02-28,03:51:08,2020-02-27,21:51:08,147.93704096623583
2020-02-28,03:51:09,2020-02-27,21:51:09,147.92543546852355
2020-02-28,03:51:10,2020-02-27,21:51:10,147.94284814129247
2020-02-28,03:51:11,2020-02-27,21:51:11,147.93849276
2020-02-28,03:51:12,2020-02-27,21:51:12,147.8514736581604
2020-02-28,03:51:13,2020-02-27,21:51:13,147.82535907520753
2020-02-28,03:51:14,2020-02-27,21:51:14,147.7789547891604
2020-02-28,03:51:15,2020-02-27,21:51:15,147.81810895878772
2020-02-28,03:51:16,2020-02-27,21:51:16,147.85436839328773
2020-02-28,03:51:17,2020-02-27,21:51:17,147.7963586095283
2020-02-28,03:51:18,2020-02-27,21:51:18,147.80360872594812
2020-02-28,03:51:19,2020-02-27,21:51:19,147.83116625026415
2020-02-28,03:51:20,2020-02-27,21:51:20,147.8485700706321
2020-02-28,03:51:21,2020-02-27,21:51:21,147.8079552548396
2020-02-28,03:51:22,2020-02-27,21:51:22,147.80360872594812
2020-02-28,03:51:23,2020-02-27,21:51:23,147.79055143447167
2020-02-28,03:51:24,2020-02-27,21:51:24,147.80940704860376
2020-02-28,03:51:25,2020-02-27,21:51:25,147.8398681604481
