,result,table,_start,_stop,date,Value (psi),_field,_measurement,wellname
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:40Z,166.351,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:41Z,166.107,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:42Z,166.382,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:43Z,166.321,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:44Z,166.412,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:45Z,166.199,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:46Z,166.321,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:47Z,166.412,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:48Z,166.412,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:49Z,166.473,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:50Z,166.26,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:51Z,166.473,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:52Z,166.534,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:53Z,166.412,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:54Z,166.321,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:55Z,166.412,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:56Z,166.168,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:57Z,166.412,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:58Z,166.382,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:19:59Z,166.199,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:20:00Z,166.382,Tubing Pressure,sensors,141
,,1,2022-10-17T05:10:21.23284007Z,2022-10-18T05:10:21.23284007Z,2022-10-17T18:20:01Z,166.412,Tubing Pressure,sensors,141
